date,0x7d3bb46c78b0c4949639ce34896bfd875b97ad08,0xefab18983029d2ba840e34698efb67fdf8120711,0xe0f87651d3b65641c0fe1b71c5fbe88236d4b2e6,0x0f416bc2d310a1c32bc1081cf354c15fd10d4802,0x94793d0cdd8e299735ef9f2b7e0e653db43de9ad,0xa3e2c716c54d0c99fe17ed12dca65c78fee7159e,0xdf936637014e39ce828452f6cfe766b45b024402,0xb4d6eaea0009cb185b7b4907245676000b8fbab7,0x1040fdba721c2e7c8aedf14c831cbabb80cb4df5,0x119f972691f81a06d4029072967ca172fa387388,0x08998eefa057d02a0d4d39cd5f9c2b2a616e938b,0xdc26e05c143a1f47a6d109611c3c068820f42270,0x43a8f6b3ec05a689f8e8c3b7f84868bb26ff83f4,0x4108e817547a7c84d3b483a8d2c703ab1cadf230,0xdd714069d6b0851c82cf055cc969255f40524b25,0x0fcdae4a4aeb0497f39a209009dc200a6466b7bd,0x7add93ae1a0cb236ef3247823cbf955c1ab6c763,0xbfebc3060e09eb9f0b2faa41a791454a154258d3,0x310a8b37d953818110f4da16e8d7ab6759f8ca76,0x41a28335c5075c81502a97cebad597f28728a815,0x0b157ac0a65319b0a18aa46b0b0d4497e1074456,0xd85d422317640106599128b19b40b3e8137875a3,0x44920aad8c4ae63b8b0bc8f3c1e18085edeaa5ec,0x1f2be440a818b3b87069af6ec20528c6dbec429b,0x33350f9ffe031ca593442a189b3bc7a1ea05b3c1,0xfa1c9d758af489a1055586de4d5f42ec2db91522,0x91299962ece435071129a6f19475cd701ea9eac9,0x2d50dbcc960bec854227f51f8074e1da28bd4a37,0x0360b232285a801cbae01c984fb680ba2f465fdc,0x788fc8dffc33be73a0162dbcb16d04eab516925e,0xd2508b31c3a0e09470ecc6b0f9e827cb27817497,0x8bd8746310d4ba8a0b044415bfac70db55ada5b0,0xe3e5e551a6a3d6664325c92833553b6bf83a865a,0x82e6b31b0fe94925b9cd1473d05894c86f277398,0x49516e20b5692839f877a7e9aa62006a5d02a7b1,0x70e688ef87f9fb0e5c738c55d4ec97333561d751,0x81c764add7a228ccd3b7fad1f46e06d55c39f7a2,0x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,0x3f6ea4a39ce386505d00db7a9c91d90355b4df5d,0x80e179c4a2f057be91573b32bece53888fb48311,0xbe4d1e137a24af091be80ae58d652279665e3a27,0xdd36d585a0d32b4ae6f1790bc4292308e21a42e3,0xa8af5873c59dca72e632930bb683b9b749b82f3c,0xa0f0287683e820ff4211e67c03cf46a87431f4e1,0x20bb3095a4852f4c97d7a188e9f7183c85acfc49,0x03ebd2ea2b9f23669c9eb05c2a1a39f99cbdf372,0xd6187b4a0f51355a36764558d39b2c21ac12393d,0x49136693081f2c18e2cf14428dd78cd90a22dc1f,0x12d92fed171f16b3a05acb1542b40648e7ced384
2019-12-01,290,250,220,210,100,100,60,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,1150,980,1640,1690,0,0,0,0,0,0,500,200,140,110,110,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,1320,1470,3170,2350,0,0,0,0,0,0,500,200,140,0,0,0,430,340,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,1700,1780,3600,2430,0,0,0,0,0,0,500,0,0,0,0,0,430,340,300,1300,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,4020,2470,4200,3490,0,0,0,0,0,0,500,0,0,0,0,0,430,0,0,3720,2800,550,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,11790,2470,4330,3500,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,9120,8150,550,0,770,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,13580,2470,4330,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11190,10100,0,0,1530,930,1180,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,18990,2470,4330,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15250,14750,0,0,1600,930,1180,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,29520,2470,4330,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,2260,0,0,0,5400,4660,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,37780,0,4330,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,2730,0,0,0,15470,15120,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,58440,0,4330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,3890,0,0,0,45560,19200,0,0,32300,13850,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,71350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,0,0,0,0,60270,19200,0,0,32300,30670,11400,11050,7090,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,0,0,0,0,68190,19200,0,0,32300,41710,11400,15460,0,7320,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,0,0,0,0,68190,19200,0,0,32300,41710,0,15460,0,0,19060,15780,0,0,0,0,0,0,0,0,0,0
2021-02-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16440,17280,0,0,0,0,0,0,68190,19200,0,0,32300,41710,0,0,0,0,33830,27050,20600,0,0,0,0,0,0,0,0,0
2021-03-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,32300,41710,0,0,0,0,52830,40380,21620,37870,22500,20730,0,0,0,0,0,0
2021-04-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,32300,41710,0,0,0,0,57130,43730,24390,72610,27810,0,43300,0,0,0,0,0
2021-05-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,32300,41710,0,0,0,0,59590,48390,0,95530,29960,0,62040,35650,0,0,0,0
2021-06-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,41710,0,0,0,0,63500,51970,0,110890,34290,0,80820,43860,38630,0,0,0
2021-07-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,41710,0,0,0,0,66940,52870,0,122570,0,0,95100,53820,44090,46290,0,0
2021-08-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,41710,0,0,0,0,69930,55320,0,141510,0,0,103950,67510,49540,58460,0,0
2021-09-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,73380,57810,0,153920,0,0,118430,79690,55140,70760,44920,0
2021-10-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,78370,63790,0,171980,0,0,126400,91900,61380,84500,55600,0
2021-11-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,82790,65920,0,187210,0,0,137710,102360,67220,100400,72130,0
2021-12-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,85070,68960,0,211550,0,0,153220,117850,72890,125480,89660,0
2022-01-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,87600,69530,0,230530,0,0,164810,130420,80630,136740,115570,0
2022-02-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,92610,69530,0,241830,0,0,175520,145280,87690,151510,126750,0
2022-03-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,95180,69530,0,243760,0,0,179020,147490,87690,156170,128730,0
2022-04-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,96910,69530,0,243760,0,0,180120,147490,87690,159240,131970,0
2022-05-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,96910,69530,0,243960,0,0,182080,147490,87690,161230,131970,0
2022-06-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,96910,69530,0,243960,0,0,182480,147490,87690,162430,131970,0
2022-07-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,96910,69530,0,243960,0,0,183320,147490,87690,163600,131970,0
2022-08-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68190,0,0,0,0,0,0,0,0,0,96910,69530,0,243960,0,0,185240,147490,87690,163690,131970,0
2022-09-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96910,69530,0,243960,0,0,185240,147490,87690,163690,131970,68400
2022-10-01,78560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96910,69530,0,243960,0,0,185240,147490,87690,163690,131970,68730
